Zeit t / s,Spannung U_A1 / V,Weg &b_B1 / rad
0,0.1165,-1.66
0.0988809999999489,0.1555,-2.6
0.200368999999966,0.1505,-3.88
0.29875149999998,0.2195,-5.44
0.397696749999966,0.233,-6.18
0.498887499999967,0.23,-6.2
0.599683999999968,0.236,-6.2
0.698670499999992,0.226,-6.2
0.798628999999949,0.264,-6.48
0.899670249999986,0.2305,-6.8
0.99778225,0.2685,-6.8
1.09777599999995,0.278,-6.8
1.19888899999995,0.251,-6.8
1.29784624999996,0.2735,-6.8
1.4028065,0.27,-6.8
1.49966749999999,0.2865,-6.8
1.59860749999996,0.292,-6.8
1.69750625,0.264,-6.8
1.7975515,0.283,-6.8
1.89767799999998,0.269,-6.8
1.99860749999999,0.284,-6.8
2.09746224999998,0.3025,-6.8
2.19767024999999,0.276,-6.8
2.29848224999995,0.279,-6.8
2.39952749999998,0.2855,-6.8
2.49846499999995,0.276,-6.8
2.59674374999997,0.279,-6.8
2.69754749999998,0.281,-6.8
2.79872874999995,0.289,-6.8
2.89956749999999,0.3015,-6.8
2.99853674999997,0.265,-6.8
3.0974875,0.273,-6.8
3.19857024999999,0.2725,-6.8
3.29958625,0.281,-6.8
3.39962749999995,0.264,-6.8
3.49853674999997,0.2605,-6.8
3.59840874999998,0.2575,-6.8
3.70023149999997,0.269,-6.8
3.8020325,0.2735,-6.8
3.89839799999999,0.2515,-6.8
3.99858224999997,0.2615,-6.8
4.09832499999999,0.226,-6.8
4.19948024999997,0.2715,-6.8
4.29937149999995,0.3,-6.8
4.39842199999998,0.31,-6.8
4.49958024999995,0.292,-6.8
4.600482,0.3015,-6.8
4.69942749999996,0.2905,-6.8
4.79945899999996,0.2865,-6.79
4.90040224999996,0.2835,-6.64
4.99946624999995,0.2945,-6.34
5.09942024999998,0.289,-5.92
5.19950224999997,0.2825,-5.39
5.29740749999996,0.2925,-4.82
5.39838749999996,0.301,-4.11
5.50049024999998,0.2845,-3.6
5.59950749999996,0.2835,-3.32
5.69944649999996,0.311,-3
5.79848024999995,0.306,-2.7
5.8992915,0.3015,-2.36
5.99940475,0.2925,-1.93
6.09944374999998,0.298,-1.64
6.19956424999998,0.301,-1.41
6.29932224999999,0.287,-1.17
6.40028849999999,0.269,-0.93
6.50227799999999,0.266,-0.67
6.59925799999996,0.263,-0.44
6.69830899999999,0.241,-0.18
6.80043799999999,0.231,0.09
6.89926025,0.1925,0.34
6.99913149999998,0.218,0.49
7.09818849999999,0.2335,0.82
7.20030224999999,0.246,1.11
7.29817149999997,0.2275,1.16
7.39800624999998,0.2735,1.25
7.49928649999998,0.308,1.35
7.59904749999998,0.2885,1.53
7.69939999999997,0.237,1.81
7.80016849999998,0.204,2.09
7.90024875,0.2075,2.28
8.00017924999997,0.2245,2.4
8.09914474999999,0.1825,2.79
8.2002675,0.195,3.17
8.30021599999998,0.1885,3.54
8.39820649999996,0.173,3.81
8.49894749999999,0.1395,3.88
8.59812925,0.147,4.1
8.700242,0.1425,4.31
8.79929799999996,0.149,4.67
8.89901599999996,0.1635,5.17
8.9989865,0.1715,5.7
9.09795924999997,0.222,6.56
9.19894749999997,0.2275,7.42
9.30053924999999,0.2555,8.12
9.39902624999996,0.2695,8.28
9.49899124999996,0.2415,8.52
9.60112375,0.2915,8.68
9.69996325,0.285,8.84
9.80190749999997,0.293,9.11
9.90027599999996,0.309,9.46
9.99907274999998,0.2915,9.83
10.098925,0.2975,10.24
10.197845,0.3165,10.68
10.29894625,0.2815,11.08
10.399042,0.283,11.39
10.4990085,0.2655,11.67
10.6000475,0.2545,12.13
10.69898875,0.264,12.68
10.80014225,0.2625,13.08
10.89794225,0.2275,13.4
11.00018225,0.194,13.77
11.09880475,0.164,14.07
11.19999275,0.165,14.41
11.3008065,0.144,14.75
11.399718,0.1895,14.94
11.49883025,0.1875,15.16
11.5991265,0.243,15.48
11.69772425,0.2555,15.83
11.80004475,0.253,16.04
11.90009925,0.243,16.2
11.99776875,0.281,16.45
12.0986667499999,0.309,16.64
12.20182025,0.3085,16.97
12.3009075,0.2865,17.15
12.39990375,0.298,17.39
12.4999715,0.2875,17.45
12.59896475,0.3185,17.55
12.6997665,0.292,17.88
12.8006475,0.289,18.2
12.89872625,0.2995,18.53
12.99856875,0.283,18.81
13.098742,0.262,19.13
13.198625,0.2595,19.48
13.30060475,0.243,20.05
13.399622,0.175,20.69
13.498565,0.1685,21.25
13.59990625,0.1315,21.68
13.69972375,0.15,22.07
13.79853275,0.1415,22.49
13.89990375,0.163,22.94
14.0007275,0.2095,23.4
14.09857025,0.246,23.75
14.19966625,0.262,24.04
14.3007275,0.2485,24.37
14.400564,0.294,25.04
14.5005235,0.319,25.28
14.60058475,0.2865,25.74
14.69955275,0.2655,26.05
14.80015125,0.2055,26.49
14.899449,0.1725,26.86
14.999465,0.128,27.13
15.0994664999999,0.145,27.49
15.19966225,0.161,28.04
15.299916,0.2065,28.67
15.3999475,0.2675,29.09
15.49938475,0.295,29.61
15.59954025,0.2885,29.79
15.69953675,0.302,30.12
15.80155925,0.255,30.74
15.900438,0.2185,31.33
15.999476,0.182,31.65
16.09926625,0.1735,32.08
16.19960225,0.1395,32.55
16.2995637499999,0.1785,33.06
16.39840475,0.2,33.54
16.49952925,0.221,33.88
16.60148025,0.229,34.16
16.70024475,0.2465,34.43
16.80040425,0.2805,34.83
16.8975115,0.29,35.19
17.0002715,0.2755,35.44
17.1002265,0.301,35.72
17.20020225,0.306,36.02
17.29844375,0.2825,36.49
17.40038025,0.272,36.66
17.50144025,0.2755,36.74
17.59912625,0.24,37.02
17.6993515,0.1675,37.55
17.7992875,0.146,37.82
17.89813675,0.176,37.96
17.999276,0.2135,38.46
18.0992675,0.2255,38.7
18.2013715,0.2865,39.12
18.29926225,0.3255,39.65
18.4003602499999,0.267,40.17
18.4993085,0.257,40.3
18.5991075,0.244,40.5
18.6970664999999,0.1635,40.89
18.798282,0.161,41.35
18.9021274999999,0.1605,41.82
18.99804225,0.185,42.19
19.10034025,0.245,42.52
19.20045025,0.3065,42.88
19.3003179999999,0.274,43.11
19.4004,0.2835,43.31
19.499162,0.3255,43.48
19.59834425,0.285,43.69
19.6981525,0.266,44.05
19.80022875,0.246,44.39
19.9002265,0.2275,44.72
20.000345,0.183,45
20.09924025,0.165,45.28
20.201049,0.1525,45.57
20.29924025,0.1655,45.73
20.398925,0.1585,45.9
20.49903925,0.1795,46.24
20.6003525,0.189,46.72
20.70030225,0.2385,47.22
20.80098025,0.286,47.56
20.900076,0.3035,47.93
21.00016375,0.2795,48.3
21.1009685,0.2965,48.34
21.200856,0.2695,48.34
21.29820225,0.238,48.4
21.40037275,0.216,48.71
21.498825,0.1505,49.19
21.60010625,0.204,49.48
21.69898875,0.217,49.86
21.7991075,0.267,50.23
21.898849,0.299,50.47
21.998798,0.25,50.98
22.100162,0.194,51.47
22.1987475,0.2025,51.58
22.29904025,0.1635,51.73
22.398918,0.16,51.98
22.49892025,0.1595,52.22
22.6007875,0.1955,52.57
22.6987875,0.24,52.91
22.79900375,0.3075,53.37
22.900838,0.285,53.68
23.0007475,0.2655,53.88
23.10090025,0.2575,54.12
23.1997095,0.188,54.51
23.300765,0.162,54.92
23.39970375,0.1565,55.32
23.4997049999999,0.179,55.68
23.59991925,0.208,55.98
23.699998,0.23,56.3
23.80002025,0.279,56.61
23.90086225,0.3115,56.91
24.00001275,0.279,57.16
24.1000285,0.2735,57.5
24.198776,0.2495,57.85
24.2996315,0.1955,58.2
24.40157025,0.177,58.6
24.500822,0.17,58.91
24.5988,0.1895,59.23
24.698762,0.187,59.66
24.8005865,0.281,60.36
24.8997275,0.3125,60.57
24.99961025,0.296,60.61
25.099729,0.273,60.78
25.19854225,0.1935,61.25
25.29849275,0.1485,61.75
25.399524,0.2155,62.25
25.4985465,0.2995,62.61
25.5999315,0.3035,62.72
25.70046475,0.3135,62.97
25.79869275,0.296,63.07
25.9007475,0.193,63.55
25.99856025,0.16,63.89
26.0995875,0.146,64.3
26.19852025,0.1925,64.61
26.3017835,0.2625,65.11
26.40160475,0.2885,65.54
26.49948475,0.2905,65.83
26.5995235,0.243,66.08
26.6995265,0.2295,66.22
26.80040225,0.1875,66.49
26.899504,0.1685,66.75
27.00054125,0.1505,67.01
27.1014675,0.1785,67.35
27.1992847499999,0.2095,67.72
27.3004635,0.2185,68.16
27.401518,0.294,68.58
27.49848225,0.2835,68.97
27.6003085,0.245,69.35
27.700278,0.208,69.79
27.8014235,0.156,70.31
27.90148025,0.204,70.69
28.00046025,0.2265,71.01
28.0993675,0.262,71.2
28.20151875,0.281,71.36
28.30024475,0.2995,71.66
28.4004085,0.2725,72.01
28.49928,0.278,72.11
28.59950875,0.2665,72.23
28.7012675,0.2425,72.45
28.80144425,0.2275,72.47
28.90046025,0.2375,72.55
28.99946025,0.224,72.63
29.10038225,0.2075,72.73
29.200425,0.1625,73.15
29.3012875,0.193,73.4
29.400403,0.263,73.76
29.5013595,0.285,74.17
29.60116225,0.234,74.65
29.6992865,0.162,75.13
29.79932225,0.2,75.78
29.9012715,0.2815,76.37
30.00042425,0.2595,76.65
30.100145,0.2625,76.76
30.20018,0.2,76.97
30.300445,0.176,77.18
30.399245,0.1695,77.56
30.50046475,0.212,77.92
30.600263,0.2555,78.21
30.7001842499999,0.2675,78.49
30.7990875,0.2995,78.76
30.899378,0.283,78.93
30.9990115,0.2625,79.05
31.0982075,0.2415,79.23
31.1990885,0.223,79.36
31.29921275,0.2075,79.49
31.3995725,0.1845,79.64
31.5014925,0.1745,79.73
31.60344625,0.167,79.9
31.70039025,0.154,80.13
31.7990675,0.1605,80.4
31.90092625,0.1755,80.65
31.9991087499999,0.195,80.85
32.10208225,0.2105,81.05
32.20045025,0.2315,81.35
32.299045,0.272,81.67
32.40114025,0.286,82.01
32.500205,0.212,82.36
32.6001235,0.1655,82.7
32.70031275,0.1675,83.02
32.8001435,0.1825,83.35
32.89900475,0.2485,83.61
33.00022225,0.277,83.77
33.1008915,0.289,83.77
33.19902875,0.2805,83.84
33.2988875,0.2815,84.01
33.40024225,0.269,84.37
33.5001662499999,0.2585,84.37
33.5989489999999,0.2775,84.38
33.69994475,0.2475,84.43
33.8001675,0.2595,84.47
33.89996325,0.2515,84.58
33.99900025,0.243,84.66
34.100065,0.169,85.16
34.19998,0.2615,85.73
34.3001075,0.304,85.96
34.400018,0.2355,86.45
34.50106375,0.175,86.91
34.60074425,0.204,87.51
34.69874225,0.2455,87.93
34.7996649999999,0.2755,88.4
34.9007715,0.2925,88.48
35.00077275,0.275,88.77
35.10014875,0.2115,89.09
35.20092375,0.2125,89.26
35.3000835,0.194,89.53
35.4007285,0.1785,89.85
35.499709,0.1555,90.34
35.60088225,0.165,90.73
35.69965925,0.1675,91.03
35.80076825,0.1695,91.25
35.89994625,0.178,91.42
36.001818,0.2,91.67
36.10176025,0.249,91.96
36.1995767499999,0.288,92.33
36.29993825,0.2715,92.71
36.40172625,0.2095,93.1
36.5026475,0.158,93.51
36.60189025,0.1675,93.88
36.7016875,0.194,94.22
36.8006885,0.268,94.68
36.8996475,0.2815,95.03
37.001621,0.281,95.22
37.09956625,0.1985,95.52
37.2006035,0.197,95.74
37.30168225,0.1545,95.81
37.40056225,0.181,96.21
37.50047275,0.1965,96.45
37.60068925,0.2225,96.54
37.69964225,0.242,96.55
37.8016684999999,0.2635,96.57
37.9006055,0.283,96.66
38.00060375,0.2735,96.84
38.101478,0.277,97.05
38.2005315,0.253,97.24
38.300609,0.17,97.59
38.400556,0.1895,97.96
38.49964625,0.294,98.54
38.60164025,0.235,98.92
38.70244425,0.217,99.14
38.7996065,0.161,99.49
38.899589,0.2255,100.01
38.999336,0.283,100.42
39.09943675,0.2685,100.72
39.20030225,0.1875,101
39.30132225,0.155,101.14
39.399345,0.1595,101.37
39.5012675,0.1825,101.53
39.6012875,0.1895,101.66
39.7015474999999,0.2235,101.81
39.80246475,0.251,102.08
39.903365,0.278,102.35
39.9993315,0.274,102.69
40.101258,0.226,102.94
40.20120475,0.17,103.22
40.301382,0.176,103.54
40.400218,0.2195,103.86
40.5003865,0.2545,104.26
40.60032,0.2745,104.6
40.70036225,0.2535,104.94
40.801382,0.2205,105.28
40.89936025,0.153,105.66
41.000312,0.2425,106.1
41.1014075,0.2955,106.6
41.20045275,0.267,106.98
41.300376,0.2215,107.24
41.4014915,0.1675,107.45
41.5003885,0.165,107.71
41.6005715,0.204,108.05
41.7010475,0.2905,108.34
41.8002475,0.28,108.64
41.898158,0.229,109.02
42.0010715,0.148,109.26
42.101158,0.187,109.46
42.2011302499999,0.1895,109.61
42.3002285,0.2565,109.94
42.40112475,0.273,110.21
42.50045275,0.18,110.65
42.600651,0.1865,111.13
42.70254025,0.243,111.64
42.799103,0.2765,112.06
42.9002927499999,0.208,112.38
43.0002802499999,0.1775,112.56
43.10412225,0.198,112.82
43.201112,0.2175,113.15
43.30112875,0.31,113.47
43.40038925,0.2955,113.78
43.502005,0.2645,114.03
43.60190325,0.2115,114.37
43.700325,0.1445,114.72
43.80112225,0.209,115.07
43.90007925,0.2755,115.39
44.0009315,0.293,115.59
44.10203275,0.2345,115.99
44.20200325,0.154,116.45
44.30105675,0.225,116.88
44.40210475,0.271,117.28
44.50086225,0.284,117.54
44.60108425,0.28,117.68
44.700805,0.2325,117.95
44.800965,0.1685,118.32
44.90117925,0.1885,118.76
45.0008,0.258,118.96
