Zeit t / s;Spannung U_1 / V;Stromstärke I_1 / A;Phasenverschiebung &j_1 / °;Spannung U_A2 / V;Spannung U_B2 / V;Leistungsfaktor cos&j_2;Anzahl n_0;Frequenz f_0 / Hz;Frequenz f_1 / Hz;Frequenz f / Hz;Phasenverschiebung &j_2 / °;Leistung P / mW;Impedanz Z / k&W;Admittanz Y / 1/k&W
2.1;7.07399639524929;0.00390512483795333;57.2730121634123;0.273094763772578;1.78606543833086;-0.999359460088104;50;36.49635036;2007.29927;36.49635036;2.05085007403488;0.0487452685937004;1.5290300003106;0.654009404522388
4.201;7.0736200067575;0.00173205080756888;53.9795810800772;0.290194762185674;1.86342265737003;-0.991958019940892;50;36.49635036;2007.29927;134.687707701966;7.27127558970619;0.053640675;1.55732120696248;0.642128287683486
6.301;7.07695379382966;0.00122474487139159;42.7958780770265;0.301574617632187;1.8696018292674;-0.977929377422374;50;36.49635036;2007.29927;228.459725974924;12.0599896913646;0.05513805;1.61304194781602;0.619946679845464
8.401;7.07451058377892;0.001;34.3250151956693;0.31594145027204;1.86660159112758;-0.960904062215271;50;36.49635036;2007.29927;318.011308201866;16.0741726681271;0.05666805;1.69260249093212;0.590806172953991
10.501;7.07463426616528;0.000866025403784439;17.2887029155429;0.332841178341863;1.85579039764732;-0.941598954589634;50;36.49635036;2007.29927;403.532405295084;19.6781626819335;0.0581610102753581;1.79352786157221;0.557560337603789
12.6;7.07230514047577;0.000866025403784439;-23.5423283750573;0.352965649886784;1.84231328769023;-0.924657142682115;50;36.49635036;2007.29927;485.204418967527;22.3832882991137;0.0601279857906403;1.91588288618006;0.521952571951737
14.701;7.07547171572327;0.000866025403784439;-25.2956325077033;0.37542276169673;1.82669455574817;-0.909382523981119;50;36.49635036;2007.29927;563.200586510152;24.5798400913616;0.0623638816174166;2.05520271856817;0.486570006435515
16.8;7.06870744903197;0.000866025403784439;-27.701945925116;0.399180410340989;1.80835000760362;-0.895981746164251;50;36.49635036;2007.29927;637.686348251444;26.3651882526254;0.06467715;2.20742891952633;0.453015719398376
18.9;7.07506007041636;0.000866025403784439;-28.8347315027993;0.425698837207714;1.78874418238048;-0.887889567237278;50;36.49635036;2007.29927;708.819698478537;27.3907627457957;0.0676098;2.37987545340995;0.420190055982625
20.999;7.07929728151036;0.000866025403784439;-28.6055255773855;0.453114224009796;1.76538147435618;-0.882097246130966;50;36.49635036;2007.29927;776.751520564277;28.1036028699936;0.070560675;2.56666465912158;0.389610694348455
23.101;7.0792513728501;0.000866025403784439;-31.6762055175752;0.482209757263372;1.73973812684553;-0.879293488312559;50;36.49635036;2007.29927;841.625907011086;28.4427455576576;0.073765575;2.77173759557542;0.360784513511063
25.199;7.06861018871461;0.000866025403784439;-32.156989087408;0.511068733146531;1.71229451321903;-0.877255554094077;50;36.49635036;2007.29927;903.580465090479;28.6869458448294;0.07676865;2.98470110837268;0.335041923358691
27.3;7.06911062298504;0.001;-44.8693644831887;0.54257096310068;1.68460685324499;-0.882665781088361;50;36.49635036;2007.29927;962.746608726533;28.0343738006941;0.0806773085206115;3.22075718768178;0.310485994978024
29.4;7.07227509363147;0.001;-44.2892795606083;0.572622912569869;1.65463054788675;-0.885821140049171;50;36.49635036;2007.29927;1019.24983724244;27.6472589437989;0.083929725;3.46072972786105;0.288956398978334
31.5;7.07580914100995;0.001;-45.2668018432343;0.603906035737349;1.61996041618306;-0.896783478245801;50;36.49635036;2007.29927;1073.21000156141;26.2615611446457;0.087732675;3.72790612476981;0.268247098111074
33.6;7.06882062298938;0.00111803398874989;-51.1270670886677;0.633527623707128;1.58633067170751;-0.904854433269545;50;36.49635036;2007.29927;1124.74155842653;25.1963151996228;0.09093645;3.99366686281874;0.250396448764932
35.7;7.07912953688517;0.00111803398874989;-50.6347129717471;0.664728516012364;1.5491340322903;-0.921643566944315;50;36.49635036;2007.29927;1173.95381317885;22.8324446450628;0.094906575;4.29096838721956;0.233047626959558
