Zeit t / s;Spannung U_1 / V;Stromstärke I_1 / A;Phasenverschiebung &j_1 / °;Spannung U_A2 / V;Spannung U_B2 / V;Leistungsfaktor cos&j_2;Anzahl n_0;Frequenz f_0 / Hz;Frequenz f_1 / Hz;Frequenz f / Hz;Phasenverschiebung &j_2 / °;Leistung P / mW;Impedanz Z / k&W;Admittanz Y / 1/k&W
2,1;7,07399639524929;0,00387298334620742;57,9591719953378;2,05210526045815;0,145685448827259;-0,174062327651292;50;36,49635036;2007,29927;36,49635036;79,9759040008937;0,0052038;140,858629120287;0,00709931657183774
4,199;7,0736200067575;0,0016583123951777;54,4357984978576;2,04518055437656;0,517149881562396;-0,134119514115761;50;36,49635036;2007,29927;135,052731331556;82,2922912505876;0,01418535;39,5471531038106;0,0252862702246864
6,3;7,07695379382966;0,00111803398874989;42,2425605830059;1,89337258615414;0,80886587268842;-0,176926867653652;50;36,49635036;2007,29927;229,173344464496;79,8091905581505;0,027096075;23,4077447211507;0,0427209033553934
8,4;7,07451058377892;0,000866025403784439;22,8719142716069;1,71586297529844;1,02320562449588;-0,228310171694177;50;36,49635036;2007,29927;319,057832198245;76,8023951177037;0,040083975;16,769483417801;0,0596321290934036
10,501;7,07463426616528;0,000866025403784439;-25,006158117599;1,54681640798124;1,17512435512162;-0,277127164656569;50;36,49635036;2007,29927;404,89685158231;73,9111805149189;0,05037345;13,1630018664804;0,0759705126644782
12,6;7,07230514047577;0,000707106781186548;0;1,39107027140975;1,28763096421296;-0,329620446215149;50;36,49635036;2007,29927;486,872478685443;70,7542602517917;0,059041125;10,8033303801452;0,0925640487527663
14,701;7,07547171572327;0,000866025403784439;-28,4015781548185;1,26289845197466;1,36504368061978;-0,379152282824837;50;36,49635036;2007,29927;565,158594803393;67,7188170099333;0,0653625;9,25170725233686;0,108088158512302
16,8;7,06870744903197;0,000707106781186548;0;1,15201367179387;1,42319649029921;-0,43157590965566;50;36,49635036;2007,29927;639,921255284448;64,4323870307356;0,070758675;8,09455110131471;0,123539895848898
18,901;7,07506007041636;0,000866025403784439;-34,2859656523786;1,05873438595334;1,46544088928895;-0,481127720843241;50;36,49635036;2007,29927;711,319041755094;61,2409188296983;0,074647575;7,22468162101748;0,138414403908247
20,999;7,07929728151036;0,000866025403784439;-32,0749923537811;0,979620589820365;1,49902468291886;-0,527600583074289;50;36,49635036;2007,29927;779,503398492901;58,1565212127776;0,0774768500503808;6,53505309807756;0,153020944893956
23,1;7,0792513728501;0,000866025403784439;-31,8979733940564;0,909308116097069;1,52468193404395;-0,578387516643745;50;36,49635036;2007,29927;844,618953660148;54,6627911098333;0,0801879725066708;5,96392005305191;0,167674950553415
25,2;7,06861018871461;0,000866025403784439;-33,5798227934596;0,850780377065668;1,54545284625575;-0,621622392470766;50;36,49635036;2007,29927;906,80382607954;51,5652927985224;0,0817334580336393;5,50505555136734;0,181651209632502
27,3;7,06911062298504;0,001;-46,0351085943908;0,800415517090967;1,56174277651603;-0,668194803626259;50;36,49635036;2007,29927;966,189918202747;48,0721086888207;0,0835272338493807;5,12514307174547;0,195116504261691
29,399;7,07227509363147;0,001;-45,095629985891;0,762647854517404;1,57332410837691;-0,706623445532081;50;36,49635036;2007,29927;1022,9031958932;45,0391505749579;0,0847872;4,847366480033;0,206297585321668
31,401;7,07580914100995;0,00111803398874989;-51,2423615847463;0,723051346724422;1,58315886758089;-0,745867614069001;50;36,49635036;2007,29927;1077,06395561655;41,7663253765857;0,08537985;4,56714333305832;0,218955247750099
33,5;7,06882062298938;0,00111803398874989;-51,7990214156669;0,69748870958604;1,59039688442854;-0,778371770153186;50;36,49635036;2007,29927;1128,78707960564;38,8882629846993;0,086343525;4,38562673515713;0,228017581155176
35,601;7,07912953688517;0,00111803398874989;-50,8684121475048;0,670080405623086;1,5984074887212;-0,809249719955624;50;36,49635036;2007,29927;1178,18227954109;35,9773083296411;0,086675625;4,19217508896423;0,238539655138086
37,701;7,07541341548322;0,00111803398874989;-51,7027196721581;0,64705486629806;1,60303056739415;-0,843374135013901;50;36,49635036;2007,29927;1225,35432926449;32,5018459173022;0,087478875;4,036447460574;0,24774260281287
39,801;7,06873220598998;0,00122474487139159;-55,2877380109456;0,62736412871633;1,60784467533403;-0,868957777331726;50;36,49635036;2007,29927;1270,40328701777;29,6622485335085;0,087652125;3,90189511674064;0,256285720164443
41,901;7,07890528259843;0,00122474487139159;-55,5253262212312;0,614917677417067;1,61124858417316;-0,888363559551348;50;36,49635036;2007,29927;1313,42470768015;27,3316725912221;0,08801775;3,81640476495825;0,262026714037744
44;7,07578794198922;0,00122474487139159;-55,1260836885763;0,59864096084381;1,61430039026199;-0,913202325477891;50;36,49635036;2007,29927;1354,50984545283;24,0482903046526;0,088250625;3,70836161878556;0,26966086449991
46,101;7,07245714020241;0,00122474487139159;-56,0096066776166;0,587488936066033;1,61582865737677;-0,932660162910011;50;36,49635036;2007,29927;1393,74584742141;21,1466428081799;0,0885357;3,63583684064497;0,275039844698479
48,201;7,07237407098917;0,0013228756555323;-59,0259313446431;0,581057871472369;1,61784300845292;-0,942148489599215;50;36,49635036;2007,29927;1431,21593840652;19,5844448056738;0,08856765;3,5915590600352;0,278430615586258
50,301;7,07955153946915;0,0013228756555323;-59,0964491384271;0,573131529406645;1,61904624702323;-0,957530899498809;50;36,49635036;2007,29927;1466,99959749486;16,7580421638674;0,088851825;3,53993303440468;0,282491219545957
52,399;7,06922025403085;0,0013228756555323;-59,758104918603;0,567874325885578;1,62056448498664;-0,966766293575929;50;36,49635036;2007,29927;1501,17272662494;14,8128008454645;0,088969275;3,50417605190368;0,285373789783404
