Zeit t / s;Spannung U_1 / V;Stromstärke I_1 / A;Phasenverschiebung &j_1 / °;Spannung U_A2 / V;Spannung U_B2 / V;Leistungsfaktor cos&j_2;Anzahl n_0;Frequenz f_0 / Hz;Frequenz f_1 / Hz;Frequenz f / Hz;Phasenverschiebung &j_2 / °;Leistung P / mW;Impedanz Z / k&W;Admittanz Y / 1/k&W
2,101;7,07399639524929;0,00390512483795333;57,1619981394561;0,0143090880212542;2,05208716920115;-0,145512305822993;50;36,49635036;2007,29927;36,49635036;81,6330531969935;0,000427275;0,0697294356497755;14,3411457540345
4,2;7,0736200067575;0,00173205080756888;54,4838954014978;0,0549909083394701;2,1437844457874;-0,0553488379155765;50;36,49635036;2007,29927;135,052731331556;86,8271237636317;0,0006525;0,25651323502943;3,89843432400386
6,301;7,07695379382966;0,00122474487139159;43,8079262499779;0,0945951901525654;2,15488770009019;-0,0454212059654849;50;36,49635036;2007,29927;229,173344464496;87,3966609219281;0,000925875;0,438979674665209;2,27800979797677
8,4;7,07451058377892;0,001;33,746217969564;0,133887079286987;2,1571022228907;-0,047250230265818;50;36,49635036;2007,29927;319,057832198245;87,2917528549003;0,001364625;0,62068027127415;1,61113546906714
10,501;7,07463426616528;0,000866025403784439;18,209013463825;0,173235388994281;2,15226479551193;-0,052726695427477;50;36,49635036;2007,29927;404,89685158231;86,9775813397254;0,00196590655601453;0,804898121065426;1,24239325925661
12,6;7,07230514047577;0,000866025403784439;-24,7431080981059;0,213564393099599;2,14536447952324;-0,0580287204084318;50;36,49635036;2007,29927;486,872478685443;86,6733304453412;0,00265872197857067;0,99546904564701;1,00455157734216
14,699;7,07547171572327;0,000866025403784439;-26,1042148012864;0,255110270275424;2,13729788518119;-0,0657940779323103;50;36,49635036;2007,29927;565,158594803393;86,2275519381533;0,0035874;1,19361120433522;0,837793744200775
16,801;7,06870744903197;0,000866025403784439;-27,601109558486;0,296935599078319;2,12942210470353;-0,0743071464886295;50;36,49635036;2007,29927;639,921255284448;85,7385863631114;0,00469845;1,39444217481559;0,717132641324652
18,901;7,07506007041636;0,000866025403784439;-26,9352296091545;0,341651137858489;2,11433074517683;-0,0899142184779876;50;36,49635036;2007,29927;711,319041755094;84,8413278362963;0,006495075;1,61588312820904;0,618856637923033
21,002;7,07929728151036;0,000866025403784439;-29,2814141482644;0,387400955084006;2,09797616764347;-0,0991372296895223;50;36,49635036;2007,29927;779,503398492901;84,3105094965769;0,00805745736617971;1,84654602401489;0,54155162503111
23,099;7,0792513728501;0,000866025403784439;-28,7509035024396;0,435948104709723;2,08163901769735;-0,106003219934953;50;36,49635036;2007,29927;844,618953660148;83,9150305790224;0,00961965;2,09425409979083;0,477496976178716
25,2;7,06861018871461;0,000866025403784439;-33,2825218778351;0,485969906475699;2,06101091700165;-0,117486031496668;50;36,49635036;2007,29927;906,80382607954;83,2529635860023;0,011767275;2,35792009866054;0,424102581155344
27,301;7,06911062298504;0,001;-43,5029632501153;0,540212458205103;2,03056568472926;-0,137691476691545;50;36,49635036;2007,29927;966,189918202747;82,0857161090123;0,0151038858857631;2,66040375973915;0,375882794609359
29,399;7,07227509363147;0,001;-42,9683279313571;0,594507359079768;1,99971547976206;-0,157688899990355;50;36,49635036;2007,29927;1022,9031958932;80,927222915162;0,018746775;2,97295972900358;0,336365134799576
31,499;7,07580914100995;0,00111803398874989;-49,7877915290414;0,653452752691425;1,96731562033142;-0,167235904213482;50;36,49635036;2007,29927;1077,06395561655;80,3728526023279;0,021498975;3,32154508375907;0,301064707773973
33,6;7,06882062298938;0,00111803398874989;-50,0006367677529;0,713317425835091;1,91894619518109;-0,193811775169473;50;36,49635036;2007,29927;1128,78707960564;78,8246808351293;0,0265293;3,71723515555773;0,269017148001755
